%t	pwall	u1	v1	p1
0.0261	97564.8216171875	69.0131981114694	-11.2257899970277	98322.4176173458
0.02612	97406.22846875	69.0550544601956	-7.7451473582186	97847.5870884511
0.02614	97340.16903125	70.2904910260619	-3.87423732852804	97489.7303121417
0.02616	97315.2190625	72.2638281666996	-0.0714801882136709	97312.3680864701
0.02618	97286.996046875	74.6743033541269	3.09913859920635	97272.0669898867
0.0262	97265.674484375	77.4078861588594	5.18038824199799	97333.7205908611
0.02622	97281.2074296875	80.3371256817922	5.8656649410588	97474.225574655
0.02624	97325.561890625	82.9630821377434	5.00864674664668	97673.4182578206
0.02626	97340.5524453125	83.8076476964195	2.7236620528689	97915.8818540394
0.02628	97294.252859375	82.0590795183694	-0.52414653213518	98125.2386420708
0.0263	97193.31209375	78.4356522967077	-4.0508924299315	98198.2204426382
0.02632	97064.9431953125	73.7123163529134	-7.09871467069179	98078.2601141257
0.02634	96913.8219453125	68.7255486729943	-8.99108075389689	97767.3016173809
0.02636	96748.5237265625	64.0299989126316	-9.32416775559268	97303.2800604228
0.02638	96587.7142578125	59.779219911101	-7.98008489199397	96717.3340638431
0.0264	96470.1838203125	56.0279045538297	-5.0342404365455	96079.5026509927
0.02642	96407.070125	52.8130905130707	-0.713659325315566	95480.8721641305
0.02644	96419.1429921875	50.1298293337503	4.59301989094388	94996.2031838147
0.02646	96519.5226640625	47.9785506883894	10.4424225154908	94656.3519417306
0.02648	96712.1555	46.3415929984031	16.4452409599263	94483.0714447916
0.0265	96982.37825	45.1543405839957	22.272712843923	94481.2478029055
0.02652	97288.32396875	44.3352780656828	27.639544446325	94640.1104506554
0.02654	97593.48415625	43.8386721869511	32.2916497868877	94935.020215562
0.02656	97885.0191171875	43.6751121974522	36.0839061187391	95337.9199511345
0.02658	98163.910765625	43.8714125424414	38.9213835058301	95819.7132114295
0.0266	98404.5545234375	44.4168835175838	40.7921970931098	96341.4266677743
0.02662	98583.3751015625	45.2808330538709	41.7213950055807	96859.77479264
0.02664	98692.3769140625	46.4247973923719	41.785003330606	97341.1379545558
0.02666	98747.1303125	47.858590770626	41.0927508823429	97781.2144233633
0.02668	98782.8439296875	49.52798848515	39.7170680739414	98202.9426337468
0.0267	98824.112375	51.2973794595866	37.725625443	98626.7989891074
0.02672	98871.6276640625	53.0327046434514	35.1852647492667	99052.2881795275
0.02674	98904.292671875	54.6622923766404	32.175112023963	99457.3361651728
0.02676	98910.614328125	56.1639464569833	28.768942168886	99825.7647392431
0.02678	98892.7621953125	57.5140258721761	25.0368287497257	100149.054264031
0.0268	98873.7130625	58.7288032366221	21.0796779385297	100437.063181664
0.02682	98869.392640625	59.8568321190402	17.0088203586724	100697.569425994
0.02684	98890.7609609375	60.9659660817111	12.924824943279	100930.491750465
0.02686	98938.481984375	62.1197580239438	8.89650990442897	101131.995077979
0.02688	98996.386859375	63.3067500623599	5.0092033482313	101296.890526776
0.0269	99060.3047890625	64.4717552840734	1.36786110382244	101416.222772918
0.02692	99117.676625	65.6013134474289	-1.92891853018987	101488.773463964
0.02694	99165.6314375	66.7218711868426	-4.83248787711461	101518.692038657
0.02696	99201.12996875	67.8680668376426	-7.38228149419387	101518.029899751
0.02698	99222.0307109375	69.0014510776945	-9.67130401420038	101483.95883105
0.027	99223.405390625	69.9671114080008	-11.7567185259192	101415.655335096
0.02702	99202.3924296875	70.5543934489779	-13.6004126152937	101308.870199129
0.02704	99163.1345703125	70.6175197503412	-15.0925996496633	101167.184660089
0.02706	99107.61434375	70.1351328201987	-16.1142959508638	100995.464570512
0.02708	99047.259359375	69.1347397952155	-16.6323793928939	100802.554834352
0.0271	98985.5671015625	67.6275498792279	-16.6583580738277	100597.405636854
0.02712	98936.162796875	65.5393811490492	-16.1959402839434	100386.707694515
0.02714	98898.644328125	62.7748124008377	-15.195977743188	100164.96062483
0.02716	98879.6138984375	59.2683348269985	-13.5811937229543	99933.9556583752
0.02718	98885.27159375	55.0005954990924	-11.2946794590668	99697.8985940298
0.0272	98922.9116328125	50.0214938367832	-8.30934357564773	99462.0270431472
0.02722	98999.2390859375	44.4479797432399	-4.6508376429937	99231.2885964905
0.02724	99110.30759375	38.4308186515423	-0.408715343504604	99019.1934435726
0.02726	99256.7811171875	32.1221302416298	4.27304795061191	98840.9071068017
0.02728	99429.887890625	25.6679349108086	9.217095132544	98701.3945339578
0.0273	99612.29946875	19.2146108525139	14.2266818378267	98615.7389289159
0.02732	99790.1194296875	12.9119186369004	19.0619898662032	98605.2949478974
0.02734	99962.0853125	7.11377705377212	23.4653703731948	98679.6003556189
0.02736	100131.096101563	2.65870289848591	27.1612360285444	98852.4011768866
0.02738	100285.883164063	0.679186923823156	29.8922429390955	99121.0900278906
0.0274	100388.881273438	1.51283491474451	31.5085546616116	99453.2670140555
0.02742	100456.549179688	4.10002334341384	31.9496351198695	99829.6108756004
0.02744	100494.077	7.42825211852895	31.2364591690419	100227.060914514
0.02746	100509.245234375	11.5402314135902	29.4393980989532	100617.876267079
0.02748	100497.527726563	16.7413924471072	26.7310441468416	100989.006654699
0.0275	100483.060859375	22.8993233094466	23.3373668361664	101323.820065881
0.02752	100485.763460938	29.6201525855397	19.4997090175513	101610.608464415
0.02754	100494.63809375	36.4960753897688	15.4241098448753	101848.926375174
0.02756	100496.227859375	43.1935337962278	11.2621844427661	102035.244830085
0.02758	100487.484148437	49.4933509077272	7.14202734562287	102170.275938386
0.0276	100480.264742188	55.3081085692175	3.17021883010125	102262.087535345
0.02762	100481.02221875	60.6225882859682	-0.566560350333334	102319.282100992
0.02764	100493.4785	65.4145593097222	-4.00530499387758	102352.989160068
0.02766	100517.90478125	69.6719615824604	-7.11853433388588	102378.196498748
0.02768	100564.989898438	73.3920038897507	-9.8737247573865	102397.602160938
0.0277	100642.187046875	76.6116996668005	-12.2649244079077	102420.377457834
0.02772	100735.842945312	79.3405030277738	-14.2862745792169	102445.848638751
0.02774	100836.175859375	81.590011360624	-15.9356443630112	102468.482127109
0.02776	100914.831851563	83.5095038340606	-17.2312683013058	102465.018385136
0.02778	100960.12146875	85.2455936684559	-18.2374748774562	102417.758258269
